date,USDONTD156N
04/04/2014,0.0884
07/04/2014,0.0865
08/04/2014,0.0885
09/04/2014,0.0886
10/04/2014,0.0885
11/04/2014,0.087
14/04/2014,0.087
15/04/2014,0.088
16/04/2014,0.0907
17/04/2014,0.0905
18/04/2014,.
21/04/2014,.
22/04/2014,0.0915
23/04/2014,0.0898
24/04/2014,0.0889
25/04/2014,0.0897
28/04/2014,0.0895
29/04/2014,0.0882
30/04/2014,0.0876
01/05/2014,0.088
02/05/2014,0.0885
05/05/2014,.
06/05/2014,0.0905
07/05/2014,0.0891
08/05/2014,0.0885
09/05/2014,0.0886
12/05/2014,0.0894
13/05/2014,0.0898
14/05/2014,0.0879
15/05/2014,0.0893
16/05/2014,0.0884
19/05/2014,0.0875
20/05/2014,0.0879
21/05/2014,0.088
22/05/2014,0.0883
23/05/2014,0.0877
26/05/2014,.
27/05/2014,0.0884
28/05/2014,0.0885
29/05/2014,0.0875
30/05/2014,0.0866
02/06/2014,0.089
03/06/2014,0.088
04/06/2014,0.09
05/06/2014,0.0925
06/06/2014,0.0909
09/06/2014,0.0901
10/06/2014,0.0893
11/06/2014,0.0888
12/06/2014,0.0919
13/06/2014,0.0922
16/06/2014,0.0921
17/06/2014,0.094
18/06/2014,0.096
19/06/2014,0.095
20/06/2014,0.0955
23/06/2014,0.0953
24/06/2014,0.096
25/06/2014,0.0955
26/06/2014,0.0962
27/06/2014,0.0966
30/06/2014,0.0936
01/07/2014,0.095
02/07/2014,0.0959
03/07/2014,0.0954
04/07/2014,.
07/07/2014,0.0945
08/07/2014,0.0941
09/07/2014,0.0942
10/07/2014,0.094
11/07/2014,0.0939
14/07/2014,0.0934
15/07/2014,0.0942
16/07/2014,0.0924
17/07/2014,0.0925
18/07/2014,0.093
21/07/2014,0.0915
22/07/2014,0.0925
23/07/2014,0.092
24/07/2014,0.0913
25/07/2014,0.0915
28/07/2014,0.0907
29/07/2014,0.0911
30/07/2014,0.091
31/07/2014,0.0865
01/08/2014,0.0899
04/08/2014,0.0905
05/08/2014,0.0899
06/08/2014,0.0899
07/08/2014,0.0895
08/08/2014,0.0895
11/08/2014,0.0902
12/08/2014,0.0901
13/08/2014,0.0903
14/08/2014,0.0911
